ID,LAT,LON
1,36.0314,-78.9359
2,36.019,-78.8499
3,35.9763,-78.9002
4,36.0174,-78.9678
5,36.0879,-78.9229
6,36.0567,-78.8584
7,36.0028,-78.8052
8,35.9574,-78.9712
9,35.9306,-78.932
10,35.9039,-78.9131
11,35.6027,-78.5739
12,35.8717,-79.0993
13,35.9288,-79.0769
14,35.8817,-79.0427
15,35.9758,-79.0445
16,35.7679,-78.6352
17,35.7928,-78.6715
18,35.7781,-78.6098
19,35.7596,-78.6887
20,35.8364,-78.6981
21,35.8428,-78.6206
22,35.7993,-78.569
23,35.6864,-78.6334
24,35.7158,-78.5242
25,35.5896,-78.6816
26,35.7309,-78.7499
27,35.5762,-78.811
28,35.6411,-78.7634
29,35.6657,-78.8535
30,35.7819,-78.8538
31,35.8041,-78.9459
32,35.7266,-78.8949
33,35.7859,-78.7605
34,35.751,-78.7986
35,35.7839,-78.8165
36,35.8222,-78.8357
37,35.9131,-78.8
38,35.8775,-78.6774
39,35.8882,-78.7214
40,35.9885,-78.6723
41,35.8673,-78.6326
42,35.9239,-78.592
43,35.8817,-78.5367
44,35.8458,-78.551
45,35.7827,-78.4972
46,35.9992,-78.5815
47,35.9491,-78.5045
