year,month,series,value,provisional
2003,12,LTL,100.0,false
2004,1,LTL,101.1,false
2004,2,LTL,101.5,false
2004,3,LTL,101.9,false
2004,4,LTL,101.4,false
2004,5,LTL,102.2,false
2004,6,LTL,103.4,false
2004,7,LTL,104.8,false
2004,8,LTL,105.1,false
2004,9,LTL,106.3,false
2004,10,LTL,107.1,false
2004,11,LTL,108.1,false
2004,12,LTL,108.0,false
2004,13,LTL,104.2,false
2005,1,LTL,108.1,false
2005,2,LTL,107.5,false
2005,3,LTL,108.6,false
2005,4,LTL,109.3,false
2005,5,LTL,110.5,false
2005,6,LTL,111.8,false
2005,7,LTL,113.3,false
2005,8,LTL,113.2,false
2005,9,LTL,114.6,false
2005,10,LTL,116.1,false
2005,11,LTL,115.3,false
2005,12,LTL,113.7,false
2005,13,LTL,111.8,false
2006,1,LTL,114.7,false
2006,2,LTL,114.3,false
2006,3,LTL,115.4,false
2006,4,LTL,116.6,false
2006,5,LTL,119.2,false
2006,6,LTL,119.2,false
2006,7,LTL,119.5,false
2006,8,LTL,120.3,false
2006,9,LTL,119.7,false
2006,10,LTL,117.5,false
2006,11,LTL,117.6,false
2006,12,LTL,117.9,false
2006,13,LTL,117.7,false
2007,1,LTL,117.1,false
2007,2,LTL,116.5,false
2007,3,LTL,117.8,false
2007,4,LTL,121.5,false
2007,5,LTL,122.4,false
2007,6,LTL,122.7,false
2007,7,LTL,121.7,false
2007,8,LTL,121.2,false
2007,9,LTL,120.9,false
2007,10,LTL,122.0,false
2007,11,LTL,123.7,false
2007,12,LTL,124.0,false
2007,13,LTL,121.0,false
2008,1,LTL,123.5,false
2008,2,LTL,124.9,false
2008,3,LTL,127.8,false
2008,4,LTL,130.1,false
2008,5,LTL,131.0,false
2008,6,LTL,133.3,false
2008,7,LTL,132.2,false
2008,8,LTL,130.7,false
2008,9,LTL,129.4,false
2008,10,LTL,126.8,false
2008,11,LTL,123.5,false
2008,12,LTL,121.2,false
2008,13,LTL,127.9,false
2009,1,LTL,126.3,false
2009,2,LTL,126.6,false
2009,3,LTL,125.4,false
2009,4,LTL,125.7,false
2009,5,LTL,126.0,false
2009,6,LTL,125.3,false
2009,7,LTL,125.9,false
2009,8,LTL,126.1,false
2009,9,LTL,125.4,false
2009,10,LTL,125.0,false
2009,11,LTL,125.4,false
2009,12,LTL,123.4,false
2009,13,LTL,125.5,false
2010,1,LTL,122.2,false
2010,2,LTL,123.5,false
2010,3,LTL,125.9,false
2010,4,LTL,127.0,false
2010,5,LTL,127.1,false
2010,6,LTL,126.4,false
2010,7,LTL,126.3,false
2010,8,LTL,126.4,false
2010,9,LTL,126.8,false
2010,10,LTL,127.8,false
2010,11,LTL,131.5,false
2010,12,LTL,131.0,false
2010,13,LTL,126.8,false
2011,1,LTL,131.8,false
2011,2,LTL,134.1,false
2011,3,LTL,134.1,false
2011,4,LTL,137.1,false
2011,5,LTL,139.1,false
2011,6,LTL,137.3,false
2011,7,LTL,137.5,false
2011,8,LTL,138.3,false
2011,9,LTL,140.1,false
2011,10,LTL,140.9,false
2011,11,LTL,141.0,false
2011,12,LTL,140.6,false
2011,13,LTL,137.6,false
2012,1,LTL,141.4,false
2012,2,LTL,141.7,false
2012,3,LTL,144.9,false
2012,4,LTL,145.5,false
2012,5,LTL,144.2,false
2012,6,LTL,143.7,false
2012,7,LTL,145.0,false
2012,8,LTL,147.4,false
2012,9,LTL,149.9,false
2012,10,LTL,150.1,false
2012,11,LTL,149.5,false
2012,12,LTL,150.3,false
2012,13,LTL,146.1,false
2013,1,LTL,148.7,false
2013,2,LTL,149.9,false
2013,3,LTL,151.0,false
2013,4,LTL,148.8,false
2013,5,LTL,148.1,false
2013,6,LTL,151.2,false
2013,7,LTL,150.7,false
2013,8,LTL,151.7,false
2013,9,LTL,152.4,false
2013,10,LTL,153.0,false
2013,11,LTL,152.3,false
2013,12,LTL,154.4,false
2013,13,LTL,151.0,false
2014,1,LTL,153.8,false
2014,2,LTL,153.4,false
2014,3,LTL,154.5,false
2014,4,LTL,158.5,false
2014,5,LTL,158.9,false
2014,6,LTL,158.8,false
2014,7,LTL,160.5,false
2014,8,LTL,160.9,false
2014,9,LTL,158.0,false
2014,10,LTL,157.3,false
2014,11,LTL,156.8,false
2014,12,LTL,158.8,false
2014,13,LTL,157.5,false
2015,1,LTL,157.0,false
2015,2,LTL,154.5,false
2015,3,LTL,156.1,false
2015,4,LTL,153.8,false
2015,5,LTL,156.5,false
2015,6,LTL,155.1,false
2015,7,LTL,154.8,false
2015,8,LTL,153.4,false
2015,9,LTL,153.2,false
2015,10,LTL,152.1,false
2015,11,LTL,156.2,false
2015,12,LTL,156.6,false
2015,13,LTL,155.0,false
2016,1,LTL,156.1,false
2016,2,LTL,158.7,false
2016,3,LTL,158.3,false
2016,4,LTL,160.3,false
2016,5,LTL,160.2,false
2016,6,LTL,160.7,false
2016,7,LTL,161.2,false
2016,8,LTL,161.1,false
2016,9,LTL,159.5,false
2016,10,LTL,163.1,false
2016,11,LTL,164.3,false
2016,12,LTL,165.6,false
2016,13,LTL,160.8,false
2017,1,LTL,166.4,false
2017,2,LTL,166.8,false
2017,3,LTL,166.7,false
2017,4,LTL,167.0,false
2017,5,LTL,168.0,false
2017,6,LTL,167.9,false
2017,7,LTL,169.7,false
2017,8,LTL,169.9,false
2017,9,LTL,173.3,false
2017,10,LTL,173.5,false
2017,11,LTL,175.1,false
2017,12,LTL,175.5,false
2017,13,LTL,170.0,false
2018,1,LTL,177.4,false
2018,2,LTL,178.5,false
2018,3,LTL,178.4,false
2018,4,LTL,178.9,false
2018,5,LTL,181.0,false
2018,6,LTL,183.1,false
2018,7,LTL,183.2,false
2018,8,LTL,183.3,false
2018,9,LTL,184.0,false
2018,10,LTL,185.3,false
2018,11,LTL,184.8,false
2018,12,LTL,183.9,false
2018,13,LTL,181.8,false
2019,1,LTL,188.5,false
2019,2,LTL,188.8,false
2019,3,LTL,187.8,false
2019,4,LTL,186.2,false
2019,5,LTL,189.9,false
2019,6,LTL,190.3,false
2019,7,LTL,188.1,false
2019,8,LTL,190.1,false
2019,9,LTL,187.8,false
2019,10,LTL,188.7,false
2019,11,LTL,189.3,false
2019,12,LTL,185.2,false
2019,13,LTL,188.4,false
2020,1,LTL,193.6,false
2020,2,LTL,191.1,false
2020,3,LTL,189.7,false
2020,4,LTL,188.4,false
2020,5,LTL,187.7,false
2020,6,LTL,186.1,false
2020,7,LTL,190.3,false
2020,8,LTL,189.9,false
2020,9,LTL,185.5,false
2020,10,LTL,189.6,false
2020,11,LTL,187.7,false
2020,12,LTL,187.1,false
2020,13,LTL,188.9,false
2021,1,LTL,196.7,false
2021,2,LTL,196.8,false
2021,3,LTL,202.5,false
2021,4,LTL,203.4,false
2021,5,LTL,203.7,false
2021,6,LTL,210.7,false
2021,7,LTL,208.302,false
2021,8,LTL,207.759,false
2021,9,LTL,209.299,false
2021,10,LTL,211.703,false
2021,11,LTL,217.984,false
